t,task_idx,task_name,event_type,total_slots,action,response_latency_s,target,kind,snapped,from_mode,to_mode,commit_latency_s,subaction,expected,actual,source,correct,pasted,count,completed,duration_s,misplacements,correct_placements,error_rate
717.327,1,Goalpost,task_end,,,,,,,,,,,,,,,,,False,7.492,0,0,0.0
717.327,2,Cross,task_start,11,,,,,,,,,,,,,,,,,,,,
718.738,2,Cross,action,,C,0.0,,,,,,,empty_clipboard,,,,,,,,,,,
719.127,2,Cross,action,,C,0.0,,,,,,,empty_clipboard,,,,,,,,,,,
719.395,2,Cross,action,,C,0.0,,,,,,,empty_clipboard,,,,,,,,,,,
729.492,2,Cross,mode_change,,,,,,,C,Z,1.242,,,,,,,,,,,,
805.763,2,Cross,mode_change,,,,,,,Z,open,1.144,,,,,,,,,,,,
814.871,2,Cross,action,,drag,1.738,D,green,False,,,,,,,,,,,,,,,
817.4,2,Cross,action,,drag,1.042,B,green,False,,,,,,,,,,,,,,,
820.561,2,Cross,action,,drag,1.568,F,green,False,,,,,,,,,,,,,,,
822.393,2,Cross,task_end,,,,,,,,,,,,,,,,,False,105.066,0,0,0.0
822.393,2,Cross,task_start,11,,,,,,,,,,,,,,,,,,,,
824.093,2,Cross,task_end,,,,,,,,,,,,,,,,,False,1.7,0,0,0.0
824.094,0,Gate,task_start,14,,,,,,,,,,,,,,,,,,,,
828.448,0,Gate,action,,drag,0.994,B,grey,False,,,,,,,,,,,,,,,
832.723,0,Gate,placement,,,,,,,,,,,grey,grey,drag,True,,,,,,,
832.723,0,Gate,action,,drag,2.863,A,grey,True,,,,,,,,,,,,,,,
838.62,0,Gate,placement,,,,,,,,,,,grey,grey,drag,True,,,,,,,
838.62,0,Gate,action,,drag,2.953,B,grey,True,,,,,,,,,,,,,,,
842.987,0,Gate,placement,,,,,,,,,,,grey,grey,drag,True,,,,,,,
842.987,0,Gate,action,,drag,2.504,N,grey,True,,,,,,,,,,,,,,,
849.394,0,Gate,placement,,,,,,,,,,,green,green,drag,True,,,,,,,
849.394,0,Gate,action,,drag,3.315,O,green,True,,,,,,,,,,,,,,,
854.009,0,Gate,placement,,,,,,,,,,,green,green,drag,True,,,,,,,
854.009,0,Gate,action,,drag,2.719,K,green,True,,,,,,,,,,,,,,,
858.22,0,Gate,placement,,,,,,,,,,,green,green,drag,True,,,,,,,
858.22,0,Gate,action,,drag,3.148,M,green,True,,,,,,,,,,,,,,,
862.376,0,Gate,placement,,,,,,,,,,,green,green,drag,True,,,,,,,
862.376,0,Gate,action,,drag,2.978,J,green,True,,,,,,,,,,,,,,,
868.406,0,Gate,placement,,,,,,,,,,,green,green,drag,True,,,,,,,
868.406,0,Gate,action,,drag,3.938,P,green,True,,,,,,,,,,,,,,,
871.884,0,Gate,placement,,,,,,,,,,,yellow,yellow,drag,True,,,,,,,
871.884,0,Gate,action,,drag,1.542,G,yellow,True,,,,,,,,,,,,,,,
875.497,0,Gate,placement,,,,,,,,,,,yellow,yellow,drag,True,,,,,,,
875.497,0,Gate,action,,drag,2.64,D,yellow,True,,,,,,,,,,,,,,,
878.61,0,Gate,placement,,,,,,,,,,,yellow,yellow,drag,True,,,,,,,
878.61,0,Gate,action,,drag,1.742,G,yellow,True,,,,,,,,,,,,,,,
882.904,0,Gate,placement,,,,,,,,,,,yellow,yellow,drag,True,,,,,,,
882.904,0,Gate,action,,drag,2.201,E,yellow,True,,,,,,,,,,,,,,,
887.339,0,Gate,placement,,,,,,,,,,,yellow,yellow,drag,True,,,,,,,
887.339,0,Gate,action,,drag,2.518,H,yellow,True,,,,,,,,,,,,,,,
897.573,0,Gate,placement,,,,,,,,,,,grey,grey,drag,True,,,,,,,
897.573,0,Gate,action,,drag,1.667,B,grey,True,,,,,,,,,,,,,,,
925.603,0,Gate,placement,,,,,,,,,,,yellow,yellow,drag,True,,,,,,,
925.603,0,Gate,action,,drag,1.353,C,yellow,True,,,,,,,,,,,,,,,
933.426,0,Gate,placement,,,,,,,,,,,grey,grey,drag,True,,,,,,,
933.426,0,Gate,action,,drag,2.028,A,grey,True,,,,,,,,,,,,,,,
939.189,0,Gate,placement,,,,,,,,,,,yellow,yellow,drag,True,,,,,,,
939.189,0,Gate,action,,drag,3.444,G,yellow,True,,,,,,,,,,,,,,,
946.065,0,Gate,placement,,,,,,,,,,,grey,grey,drag,True,,,,,,,
946.065,0,Gate,action,,drag,5.237,I,grey,True,,,,,,,,,,,,,,,
946.065,0,Gate,task_end,,,,,,,,,,,,,,,,,True,121.971,0,18,0.0
948.638,1,Goalpost,task_start,14,,,,,,,,,,,,,,,,,,,,
1012.33,1,Goalpost,action,,drag,0.136,G,purple,False,,,,,,,,,,,,,,,
1076.03,1,Goalpost,mode_change,,,,,,,open,X,1.306,,,,,,,,,,,,
1078.451,1,Goalpost,action,,X,0.0,G,purple,,,,,,,,,,,,,,,,
1079.443,1,Goalpost,action,,X,0.0,F,green,,,,,,,,,,,,,,,,
1098.05,1,Goalpost,task_end,,,,,,,,,,,,,,,,,False,149.412,0,0,0.0
1098.05,0,Gate,task_start,14,,,,,,,,,,,,,,,,,,,,
1113.498,0,Gate,task_end,,,,,,,,,,,,,,,,,False,15.448,0,0,0.0
1113.498,4,Cleanup,task_start,10,,,,,,,,,,,,,,,,,,,,
1134.079,4,Cleanup,task_end,,,,,,,,,,,,,,,,,False,20.581,0,0,0.0
1134.079,5,Sunshine,task_start,9,,,,,,,,,,,,,,,,,,,,
1160.617,5,Sunshine,mode_change,,,,,,,X,C,1.016,,,,,,,,,,,,
1214.694,5,Sunshine,action,,C,0.0,,,,,,,empty_clipboard,,,,,,,,,,,
1218.625,5,Sunshine,action,,C,0.0,,,,,,,empty_clipboard,,,,,,,,,,,
1224.409,5,Sunshine,task_end,,,,,,,,,,,,,,,,,False,90.33,0,0,0.0
