t,task_idx,task_name,event_type,total_slots,completed,duration_s,misplacements,correct_placements,error_rate,from_mode,to_mode,commit_latency_s,action,response_latency_s,kind,count,subaction,target,expected,actual,source,correct,pasted,snapped
85.748,3,Find Two,mode_change,,,,,,,C,open,1.047,,,,,,,,,,,,
89.918,3,Find Two,placement,,,,,,,,,,,,,,,,green,green,drag,True,,
89.918,3,Find Two,action,,,,,,,,,,drag,1.677,green,,,D',,,,,,True
91.906,3,Find Two,mode_change,,,,,,,open,C,1.038,,,,,,,,,,,,
92.832,3,Find Two,placement,,,,,,,,,,,,,,,,green,green,paste,True,,
92.832,3,Find Two,action,,,,,,,,,,C,0.0,green,,paste,,,,,,D',True
94.242,3,Find Two,placement,,,,,,,,,,,,,,,,green,green,paste,True,,
94.242,3,Find Two,action,,,,,,,,,,C,0.0,green,,paste,,,,,,D',True
96.195,3,Find Two,placement,,,,,,,,,,,,,,,,green,green,paste,True,,
96.195,3,Find Two,action,,,,,,,,,,C,0.0,green,,paste,,,,,,D',True
97.661,3,Find Two,placement,,,,,,,,,,,,,,,,green,green,paste,True,,
97.661,3,Find Two,action,,,,,,,,,,C,0.0,green,,paste,,,,,,D',True
98.76,3,Find Two,placement,,,,,,,,,,,,,,,,green,green,paste,True,,
98.76,3,Find Two,action,,,,,,,,,,C,0.0,green,,paste,,,,,,D',True
98.76,3,Find Two,task_end,,True,64.74,0,10,0.0,,,,,,,,,,,,,,,
101.268,4,Cleanup,task_start,10,,,,,,,,,,,,,,,,,,,,
105.258,4,Cleanup,mode_change,,,,,,,C,X,1.129,,,,,,,,,,,,
108.374,4,Cleanup,action,,,,,,,,,,X,0.0,green,,,d,,,,,,
111.981,4,Cleanup,mode_change,,,,,,,X,Z,1.03,,,,,,,,,,,,
112.68,4,Cleanup,action,,,,,,,,,,Z,0.0,,,,d,,,,,,
118.578,4,Cleanup,mode_change,,,,,,,Z,X,1.034,,,,,,,,,,,,
119.85,4,Cleanup,action,,,,,,,,,,X,0.0,red,,,c,,,,,,
121.367,4,Cleanup,action,,,,,,,,,,X,0.0,purple,,,f,,,,,,
122.766,4,Cleanup,action,,,,,,,,,,X,0.0,red,,,i,,,,,,
126.165,4,Cleanup,mode_change,,,,,,,X,C,0.99,,,,,,,,,,,,
126.833,4,Cleanup,action,,,,,,,,,,C,0.0,green,,copy,K,,,,,,
128.618,4,Cleanup,placement,,,,,,,,,,,,,,,,green,green,paste,True,,
128.618,4,Cleanup,action,,,,,,,,,,C,0.0,green,,paste,,,,,,K',True
129.659,4,Cleanup,placement,,,,,,,,,,,,,,,,green,green,paste,True,,
129.659,4,Cleanup,action,,,,,,,,,,C,0.0,green,,paste,,,,,,K',True
131.029,4,Cleanup,action,,,,,,,,,,C,0.0,blue,,copy,D,,,,,,
132.294,4,Cleanup,placement,,,,,,,,,,,,,,,,blue,blue,paste,True,,
132.294,4,Cleanup,action,,,,,,,,,,C,0.0,blue,,paste,,,,,,D',True
135.667,4,Cleanup,placement,,,,,,,,,,,,,,,,yellow,blue,paste,False,,
135.667,4,Cleanup,action,,,,,,,,,,C,0.0,blue,,paste,,,,,,D',True
138.349,4,Cleanup,mode_change,,,,,,,C,Z,1.034,,,,,,,,,,,,
139.023,4,Cleanup,action,,,,,,,,,,Z,0.0,,,,i,,,,,,
140.174,4,Cleanup,action,,,,,,,,,,Z,0.0,,,,f,,,,,,
141.107,4,Cleanup,action,,,,,,,,,,Z,0.0,,,,c,,,,,,
147.321,4,Cleanup,mode_change,,,,,,,Z,X,1.073,,,,,,,,,,,,
147.93,4,Cleanup,action,,,,,,,,,,X,0.0,blue,,,D',,,,,,
151.349,4,Cleanup,action,,,,,,,,,,X,0.0,yellow,,,E,,,,,,
154.781,4,Cleanup,mode_change,,,,,,,X,C,1.061,,,,,,,,,,,,
156.081,4,Cleanup,action,,,,,,,,,,C,0.0,yellow,,copy,j,,,,,,
159.127,4,Cleanup,placement,,,,,,,,,,,,,,,,yellow,yellow,paste,True,,
159.127,4,Cleanup,action,,,,,,,,,,C,0.0,yellow,,paste,,,,,,j',True
175.212,4,Cleanup,task_end,,False,73.944,1,4,0.2,,,,,,,,,,,,,,,
