t,task_idx,task_name,event_type,total_slots,count,from_mode,to_mode,commit_latency_s,action,response_latency_s,subaction,target,kind,snapped,expected,actual,source,correct,pasted,completed,duration_s,misplacements,correct_placements,error_rate,remaining
80.508,0,Gate,placement,,,,,,,,,,,,green,green,paste,True,,,,,,,
80.508,0,Gate,action,,,,,,C,0.0,paste,,green,True,,,,,C',,,,,,
84.218,0,Gate,placement,,,,,,,,,,,,green,green,paste,True,,,,,,,
84.218,0,Gate,action,,,,,,C,0.0,paste,,green,True,,,,,C',,,,,,
86.103,0,Gate,placement,,,,,,,,,,,,green,green,paste,True,,,,,,,
86.103,0,Gate,action,,,,,,C,0.0,paste,,green,True,,,,,C',,,,,,
93.56,0,Gate,placement,,,,,,,,,,,,green,green,paste,True,,,,,,,
93.56,0,Gate,action,,,,,,C,0.0,paste,,green,True,,,,,C',,,,,,
95.18,0,Gate,placement,,,,,,,,,,,,green,green,paste,True,,,,,,,
95.18,0,Gate,action,,,,,,C,0.0,paste,,green,True,,,,,C',,,,,,
97.979,0,Gate,action,,,,,,C,0.0,copy,D,grey,,,,,,,,,,,,
99.804,0,Gate,placement,,,,,,,,,,,,grey,grey,paste,True,,,,,,,
99.804,0,Gate,action,,,,,,C,0.0,paste,,grey,True,,,,,D',,,,,,
100.791,0,Gate,placement,,,,,,,,,,,,grey,grey,paste,True,,,,,,,
100.791,0,Gate,action,,,,,,C,0.0,paste,,grey,True,,,,,D',,,,,,
105.637,0,Gate,placement,,,,,,,,,,,,grey,grey,paste,True,,,,,,,
105.637,0,Gate,action,,,,,,C,0.0,paste,,grey,True,,,,,D',,,,,,
108.408,0,Gate,placement,,,,,,,,,,,,grey,grey,paste,True,,,,,,,
108.408,0,Gate,action,,,,,,C,0.0,paste,,grey,True,,,,,D',,,,,,
109.046,0,Gate,placement,,,,,,,,,,,,grey,grey,paste,True,,,,,,,
109.046,0,Gate,action,,,,,,C,0.0,paste,,grey,True,,,,,D',,,,,,
109.046,0,Gate,task_end,,,,,,,,,,,,,,,,,True,109.01,1,15,0.062,
111.579,1,Goalpost,task_start,14,,,,,,,,,,,,,,,,,,,,,
112.064,1,Goalpost,task_end,,,,,,,,,,,,,,,,,False,0.485,0,0,0.0,
112.064,2,Find Red,task_start,13,,,,,,,,,,,,,,,,,,,,,
117.729,2,Find Red,mode_change,,,C,open,0.697,,,,,,,,,,,,,,,,,
119.518,2,Find Red,action,,,,,,drag,0.232,,C,red,False,,,,,,,,,,,
120.375,2,Find Red,mode_change,,,open,Z,0.702,,,,,,,,,,,,,,,,,
121.553,2,Find Red,mode_change,,,Z,C,0.715,,,,,,,,,,,,,,,,,
122.158,2,Find Red,action,,,,,,C,0.0,copy,C,red,,,,,,,,,,,,
124.419,2,Find Red,placement,,,,,,,,,,,,red,red,paste,True,,,,,,,
124.419,2,Find Red,action,,,,,,C,0.0,paste,,red,True,,,,,C',,,,,,
124.807,2,Find Red,action,,,,,,C,0.0,paste,,red,False,,,,,C',,,,,,
125.194,2,Find Red,action,,,,,,C,0.0,copy,C',red,,,,,,,,,,,,
126.462,2,Find Red,action,,,,,,C,0.0,copy,C',red,,,,,,,,,,,,
126.928,2,Find Red,action,,,,,,C,0.0,paste,,red,False,,,,,C'',,,,,,
127.718,2,Find Red,action,,,,,,C,0.0,copy,C',red,,,,,,,,,,,,
128.51,2,Find Red,action,,,,,,C,0.0,copy,C'',red,,,,,,,,,,,,
129.627,2,Find Red,action,,,,,,C,0.0,copy,C'',red,,,,,,,,,,,,
130.096,2,Find Red,action,,,,,,C,0.0,copy,C'',red,,,,,,,,,,,,
130.572,2,Find Red,action,,,,,,C,0.0,copy,C'',red,,,,,,,,,,,,
131.38,2,Find Red,panel_open,,5,,,,,,,,,,,,,,,,,,,,
131.38,2,Find Red,action,,,,,,C,0.0,paste,,red,False,,,,,C''',,,,,,
137.41,2,Find Red,mode_change,,,C,X,0.73,,,,,,,,,,,,,,,,,
138.811,2,Find Red,action,,,,,,X,0.0,,C',red,,,,,,,,,,,,
139.904,2,Find Red,action,,,,,,X,0.0,,C'',red,,,,,,,,,,,,
144.89,2,Find Red,mode_change,,,X,C,0.703,,,,,,,,,,,,,,,,,
145.663,2,Find Red,action,,,,,,C,0.0,copy,B,red,,,,,,,,,,,,
147.616,2,Find Red,placement,,,,,,,,,,,,red,red,paste,True,,,,,,,
147.616,2,Find Red,action,,,,,,C,0.0,paste,,red,True,,,,,B',,,,,,
151.272,2,Find Red,placement,,,,,,,,,,,,red,red,paste,True,,,,,,,
151.272,2,Find Red,action,,,,,,C,0.0,paste,,red,True,,,,,B',,,,,,
152.626,2,Find Red,placement,,,,,,,,,,,,red,red,paste,True,,,,,,,
152.626,2,Find Red,action,,,,,,C,0.0,paste,,red,True,,,,,B',,,,,,
154.718,2,Find Red,placement,,,,,,,,,,,,red,red,paste,True,,,,,,,
154.718,2,Find Red,action,,,,,,C,0.0,paste,,red,True,,,,,B',,,,,,
155.89,2,Find Red,placement,,,,,,,,,,,,red,red,paste,True,,,,,,,
155.89,2,Find Red,action,,,,,,C,0.0,paste,,red,True,,,,,B',,,,,,
157.249,2,Find Red,placement,,,,,,,,,,,,red,red,paste,True,,,,,,,
157.249,2,Find Red,action,,,,,,C,0.0,paste,,red,True,,,,,B',,,,,,
158.021,2,Find Red,placement,,,,,,,,,,,,red,red,paste,True,,,,,,,
158.021,2,Find Red,action,,,,,,C,0.0,paste,,red,True,,,,,B',,,,,,
159.349,2,Find Red,placement,,,,,,,,,,,,red,red,paste,True,,,,,,,
159.349,2,Find Red,action,,,,,,C,0.0,paste,,red,True,,,,,B',,,,,,
163.428,2,Find Red,placement,,,,,,,,,,,,red,red,paste,True,,,,,,,
163.428,2,Find Red,action,,,,,,C,0.0,paste,,red,True,,,,,B',,,,,,
163.428,2,Find Red,task_end,,,,,,,,,,,,,,,,,True,51.364,0,10,0.0,
165.946,3,Find Two,task_start,12,,,,,,,,,,,,,,,,,,,,,
168.934,3,Find Two,mode_change,,,C,open,0.687,,,,,,,,,,,,,,,,,
175.965,3,Find Two,action,,,,,,drag,0.156,,F,green,False,,,,,,,,,,,
178.673,3,Find Two,mode_change,,,open,C,0.653,,,,,,,,,,,,,,,,,
179.916,3,Find Two,action,,,,,,C,0.0,copy,F,green,,,,,,,,,,,,
182.089,3,Find Two,placement,,,,,,,,,,,,green,green,paste,True,,,,,,,
182.089,3,Find Two,action,,,,,,C,0.0,paste,,green,True,,,,,F',,,,,,
183.76,3,Find Two,placement,,,,,,,,,,,,green,green,paste,True,,,,,,,
183.76,3,Find Two,action,,,,,,C,0.0,paste,,green,True,,,,,F',,,,,,
184.917,3,Find Two,placement,,,,,,,,,,,,green,green,paste,True,,,,,,,
184.917,3,Find Two,action,,,,,,C,0.0,paste,,green,True,,,,,F',,,,,,
186.209,3,Find Two,placement,,,,,,,,,,,,green,green,paste,True,,,,,,,
186.209,3,Find Two,action,,,,,,C,0.0,paste,,green,True,,,,,F',,,,,,
188.494,3,Find Two,mode_change,,,C,open,0.688,,,,,,,,,,,,,,,,,
188.789,3,Find Two,action,,,,,,drag,0.217,,H,yellow,False,,,,,,,,,,,
202.635,3,Find Two,mode_change,,,open,C,0.685,,,,,,,,,,,,,,,,,
203.613,3,Find Two,action,,,,,,C,0.0,copy,H,yellow,,,,,,,,,,,,
206.027,3,Find Two,placement,,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
206.027,3,Find Two,action,,,,,,C,0.0,paste,,yellow,True,,,,,H',,,,,,
207.011,3,Find Two,placement,,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
207.011,3,Find Two,action,,,,,,C,0.0,paste,,yellow,True,,,,,H',,,,,,
211.712,3,Find Two,placement,,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
211.712,3,Find Two,action,,,,,,C,0.0,paste,,yellow,True,,,,,H',,,,,,
212.913,3,Find Two,placement,,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
212.913,3,Find Two,action,,,,,,C,0.0,paste,,yellow,True,,,,,H',,,,,,
212.913,3,Find Two,task_end,,,,,,,,,,,,,,,,,True,46.967,0,8,0.0,
215.468,4,Cleanup,task_start,10,,,,,,,,,,,,,,,,,,,,,
216.228,4,Cleanup,task_end,,,,,,,,,,,,,,,,,False,0.76,0,0,0.0,
216.228,5,Sunshine Cleanup,task_start,9,,,,,,,,,,,,,,,,,,,,,
218.376,5,Sunshine Cleanup,action,,,,,,C,0.0,empty_clipboard,,,,,,,,,,,,,,
219.458,5,Sunshine Cleanup,panel_open,,6,,,,,,,,,,,,,,,,,,,,
219.458,5,Sunshine Cleanup,action,,,,,,C,0.0,empty_clipboard,,,,,,,,,,,,,,
219.614,5,Sunshine Cleanup,mode_change,,,C,open,0.7,,,,,,,,,,,,,,,,,
221.736,5,Sunshine Cleanup,mode_change,,,open,X,0.706,,,,,,,,,,,,,,,,,
222.75,5,Sunshine Cleanup,action,,,,,,X,0.0,,c,olive,,,,,,,,,,,,
223.922,5,Sunshine Cleanup,action,,,,,,X,0.0,,i,yellow,,,,,,,,,,,,
225.345,5,Sunshine Cleanup,action,,,,,,X,0.0,,f,lime,,,,,,,,,,,,
227.208,5,Sunshine Cleanup,action,,,,,,X,0.0,,a,lime,,,,,,,,,,,,
231.904,5,Sunshine Cleanup,action,,,,,,X,0.0,,d,orange,,,,,,,,,,,,
233.798,5,Sunshine Cleanup,action,,,,,,X,0.0,,h,crimson,,,,,,,,,,,,
236.318,5,Sunshine Cleanup,mode_change,,,X,Z,0.685,,,,,,,,,,,,,,,,,
239.382,5,Sunshine Cleanup,action,,,,,,Z,0.0,,,,,,,,,,,,,,,5
246.214,5,Sunshine Cleanup,mode_change,,,Z,C,0.667,,,,,,,,,,,,,,,,,
247.179,5,Sunshine Cleanup,action,,,,,,C,0.0,copy,A,yellow,,,,,,,,,,,,
249.113,5,Sunshine Cleanup,placement,,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
249.113,5,Sunshine Cleanup,action,,,,,,C,0.0,paste,,yellow,True,,,,,A',,,,,,
250.574,5,Sunshine Cleanup,placement,,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
250.574,5,Sunshine Cleanup,action,,,,,,C,0.0,paste,,yellow,True,,,,,A',,,,,,
251.726,5,Sunshine Cleanup,placement,,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
251.726,5,Sunshine Cleanup,action,,,,,,C,0.0,paste,,yellow,True,,,,,A',,,,,,
253.129,5,Sunshine Cleanup,placement,,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
253.129,5,Sunshine Cleanup,action,,,,,,C,0.0,paste,,yellow,True,,,,,A',,,,,,
255.685,5,Sunshine Cleanup,placement,,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
255.685,5,Sunshine Cleanup,action,,,,,,C,0.0,paste,,yellow,True,,,,,A',,,,,,
257.15,5,Sunshine Cleanup,placement,,,,,,,,,,,,red,yellow,paste,False,,,,,,,
257.15,5,Sunshine Cleanup,action,,,,,,C,0.0,paste,,yellow,True,,,,,A',,,,,,
258.225,5,Sunshine Cleanup,mode_change,,,C,Z,0.688,,,,,,,,,,,,,,,,,
258.225,5,Sunshine Cleanup,action,,,,,,Z,0.0,,,,,,,,,,,,,,,9
261.323,5,Sunshine Cleanup,mode_change,,,Z,X,0.667,,,,,,,,,,,,,,,,,
264.517,5,Sunshine Cleanup,action,,,,,,X,0.0,,h,crimson,,,,,,,,,,,,
266.052,5,Sunshine Cleanup,mode_change,,,X,Z,0.656,,,,,,,,,,,,,,,,,
272.806,5,Sunshine Cleanup,mode_change,,,Z,C,0.662,,,,,,,,,,,,,,,,,
273.662,5,Sunshine Cleanup,action,,,,,,C,0.0,copy,D,red,,,,,,,,,,,,
276.12,5,Sunshine Cleanup,placement,,,,,,,,,,,,red,red,paste,True,,,,,,,
276.12,5,Sunshine Cleanup,action,,,,,,C,0.0,paste,,red,True,,,,,D',,,,,,
276.12,5,Sunshine Cleanup,task_end,,,,,,,,,,,,,,,,,True,59.892,1,6,0.143,
278.63,6,Gate,task_start,14,,,,,,,,,,,,,,,,,,,,,
279.115,6,Gate,task_end,,,,,,,,,,,,,,,,,False,0.485,0,0,0.0,
