t,task_idx,task_name,event_type,total_slots,action,response_latency_s,subaction,count,target,kind,snapped,remaining,expected,actual,source,correct,pasted,completed,duration_s,misplacements,correct_placements,error_rate
115.008,0,Practice 1 - Copy & Paste,action,,C,0.566,paste,,,red,True,,,,,,B',,,,,
118.067,0,Practice 1 - Copy & Paste,placement,,,,,,,,,,red,red,paste,True,,,,,,
118.067,0,Practice 1 - Copy & Paste,action,,C,0.556,paste,,,red,True,,,,,,B',,,,,
121.383,0,Practice 1 - Copy & Paste,panel_open,,,,,8,,,,,,,,,,,,,,
122.693,0,Practice 1 - Copy & Paste,action,,Z,0.565,,,,,,2,,,,,,,,,,
124.341,0,Practice 1 - Copy & Paste,action,,C,0.566,copy,,B,red,,,,,,,,,,,,
125.972,0,Practice 1 - Copy & Paste,action,,drag,0.814,,,B,red,False,,,,,,,,,,,
129.784,0,Practice 1 - Copy & Paste,placement,,,,,,,,,,red,red,paste,True,,,,,,
129.784,0,Practice 1 - Copy & Paste,action,,C,0.556,paste,,,red,True,,,,,,B',,,,,
144.82,0,Practice 1 - Copy & Paste,placement,,,,,,,,,,red,red,paste,True,,,,,,
144.82,0,Practice 1 - Copy & Paste,action,,C,0.559,paste,,,red,True,,,,,,B',,,,,
144.82,0,Practice 1 - Copy & Paste,task_end,,,,,,,,,,,,,,,True,144.811,0,4,0.0
147.332,1,Practice 2 - Delete + Drag,task_start,4,,,,,,,,,,,,,,,,,,
156.879,1,Practice 2 - Delete + Drag,panel_open,,,,,9,,,,,,,,,,,,,,
161.222,1,Practice 2 - Delete + Drag,action,,X,0.594,,,b,red,,,,,,,,,,,,
164.757,1,Practice 2 - Delete + Drag,action,,X,0.576,,,c,red,,,,,,,,,,,,
167.304,1,Practice 2 - Delete + Drag,panel_open,,,,,10,,,,,,,,,,,,,,
167.686,1,Practice 2 - Delete + Drag,panel_open,,,,,11,,,,,,,,,,,,,,
169.77,1,Practice 2 - Delete + Drag,action,,drag,0.139,,,A,blue,False,,,,,,,,,,,
169.828,1,Practice 2 - Delete + Drag,action,,C,0.71,copy,,A,blue,,,,,,,,,,,,
179.026,1,Practice 2 - Delete + Drag,action,,drag,0.556,,,A,blue,False,,,,,,,,,,,
184.165,1,Practice 2 - Delete + Drag,action,,Z,0.558,,,,,,3,,,,,,,,,,
188.755,1,Practice 2 - Delete + Drag,action,,Z,0.563,,,,,,2,,,,,,,,,,
189.914,1,Practice 2 - Delete + Drag,panel_open,,,,,12,,,,,,,,,,,,,,
195.093,1,Practice 2 - Delete + Drag,action,,C,0.56,copy,,B,blue,,,,,,,,,,,,
198.817,1,Practice 2 - Delete + Drag,placement,,,,,,,,,,blue,blue,paste,True,,,,,,
198.817,1,Practice 2 - Delete + Drag,action,,C,0.561,paste,,,blue,True,,,,,,B',,,,,
201.428,1,Practice 2 - Delete + Drag,placement,,,,,,,,,,blue,blue,paste,True,,,,,,
201.428,1,Practice 2 - Delete + Drag,action,,C,0.549,paste,,,blue,True,,,,,,B',,,,,
201.428,1,Practice 2 - Delete + Drag,task_end,,,,,,,,,,,,,,,True,54.096,0,2,0.0
203.96,2,Practice 1 - Copy & Paste,task_start,3,,,,,,,,,,,,,,,,,,
207.769,2,Practice 1 - Copy & Paste,panel_open,,,,,13,,,,,,,,,,,,,,
211.502,2,Practice 1 - Copy & Paste,placement,,,,,,,,,,red,red,drag,True,,,,,,
211.502,2,Practice 1 - Copy & Paste,action,,drag,1.752,,,A,red,True,,,,,,,,,,,
212.558,2,Practice 1 - Copy & Paste,placement,,,,,,,,,,red,red,drag,True,,,,,,
212.558,2,Practice 1 - Copy & Paste,action,,drag,0.561,,,A,red,True,,,,,,,,,,,
215.077,2,Practice 1 - Copy & Paste,action,,drag,1.623,,,D,red,False,,,,,,,,,,,
218.109,2,Practice 1 - Copy & Paste,action,,C,0.556,empty_clipboard,,,,,,,,,,,,,,,
218.915,2,Practice 1 - Copy & Paste,action,,C,0.557,copy,,D,red,,,,,,,,,,,,
230.641,2,Practice 1 - Copy & Paste,placement,,,,,,,,,,red,red,paste,True,,,,,,
230.641,2,Practice 1 - Copy & Paste,action,,C,0.538,paste,,,red,True,,,,,,D',,,,,
232.197,2,Practice 1 - Copy & Paste,placement,,,,,,,,,,red,red,paste,True,,,,,,
232.197,2,Practice 1 - Copy & Paste,action,,C,0.565,paste,,,red,True,,,,,,D',,,,,
232.197,2,Practice 1 - Copy & Paste,task_end,,,,,,,,,,,,,,,True,28.237,0,4,0.0
234.75,3,Practice 2 - Delete + Drag,task_start,4,,,,,,,,,,,,,,,,,,
242.214,3,Practice 2 - Delete + Drag,task_end,,,,,,,,,,,,,,,False,7.464,0,0,0.0
