t,task_idx,task_name,event_type,total_slots,action,response_latency_s,target,kind,snapped,expected,actual,source,correct,completed,duration_s,misplacements,correct_placements,error_rate
72.639,0,Gate,placement,,,,,,,green,green,drag,True,,,,,
72.639,0,Gate,action,,drag,2.008,I,green,True,,,,,,,,,
75.704,0,Gate,action,,drag,0.7,M,green,False,,,,,,,,,
78.127,0,Gate,placement,,,,,,,green,green,drag,True,,,,,
78.127,0,Gate,action,,drag,2.347,E,green,True,,,,,,,,,
80.567,0,Gate,action,,drag,0.749,M,green,False,,,,,,,,,
85.249,0,Gate,placement,,,,,,,green,green,drag,True,,,,,
85.249,0,Gate,action,,drag,1.609,M,green,True,,,,,,,,,
89.419,0,Gate,placement,,,,,,,green,green,drag,True,,,,,
89.419,0,Gate,action,,drag,2.366,O,green,True,,,,,,,,,
91.371,0,Gate,action,,drag,0.297,P,yellow,False,,,,,,,,,
94.152,0,Gate,placement,,,,,,,yellow,yellow,drag,True,,,,,
94.152,0,Gate,action,,drag,2.628,P,yellow,True,,,,,,,,,
98.067,0,Gate,placement,,,,,,,yellow,yellow,drag,True,,,,,
98.067,0,Gate,action,,drag,1.803,N,yellow,True,,,,,,,,,
98.067,0,Gate,task_end,,,,,,,,,,,True,98.032,0,16,0.0
100.569,1,Goalpost,task_start,14,,,,,,,,,,,,,,
101.015,1,Goalpost,task_end,,,,,,,,,,,False,0.446,0,0,0.0
101.015,2,Find Red,task_start,13,,,,,,,,,,,,,,
110.382,2,Find Red,action,,drag,0.719,C,orange,False,,,,,,,,,
112.437,2,Find Red,action,,drag,1.042,E,orange,False,,,,,,,,,
117.166,2,Find Red,placement,,,,,,,red,red,drag,True,,,,,
117.166,2,Find Red,action,,drag,2.305,A,red,True,,,,,,,,,
120.26,2,Find Red,placement,,,,,,,red,red,drag,True,,,,,
120.26,2,Find Red,action,,drag,1.663,B,red,True,,,,,,,,,
123.375,2,Find Red,placement,,,,,,,red,red,drag,True,,,,,
123.375,2,Find Red,action,,drag,2.269,D,red,True,,,,,,,,,
127.557,2,Find Red,placement,,,,,,,red,red,drag,True,,,,,
127.557,2,Find Red,action,,drag,1.713,F,red,True,,,,,,,,,
130.374,2,Find Red,action,,drag,0.473,I,red,False,,,,,,,,,
130.758,2,Find Red,action,,drag,0.31,G,red,False,,,,,,,,,
134.137,2,Find Red,placement,,,,,,,red,red,drag,True,,,,,
134.137,2,Find Red,action,,drag,1.63,G,red,True,,,,,,,,,
136.967,2,Find Red,placement,,,,,,,red,red,drag,True,,,,,
136.967,2,Find Red,action,,drag,1.77,I,red,True,,,,,,,,,
139.34,2,Find Red,placement,,,,,,,red,red,drag,True,,,,,
139.34,2,Find Red,action,,drag,1.484,H,red,True,,,,,,,,,
142.24,2,Find Red,placement,,,,,,,red,red,drag,True,,,,,
142.24,2,Find Red,action,,drag,2.104,J,red,True,,,,,,,,,
145.056,2,Find Red,placement,,,,,,,red,red,drag,True,,,,,
145.056,2,Find Red,action,,drag,1.482,L,red,True,,,,,,,,,
146.381,2,Find Red,action,,drag,0.376,M,red,False,,,,,,,,,
146.672,2,Find Red,action,,drag,0.143,M,red,False,,,,,,,,,
147.879,2,Find Red,placement,,,,,,,red,red,drag,True,,,,,
147.879,2,Find Red,action,,drag,1.136,M,red,True,,,,,,,,,
147.879,2,Find Red,task_end,,,,,,,,,,,True,46.864,0,10,0.0
150.415,3,Find Two,task_start,12,,,,,,,,,,,,,,
155.774,3,Find Two,placement,,,,,,,green,yellow,drag,False,,,,,
155.774,3,Find Two,action,,drag,1.017,G,yellow,True,,,,,,,,,
157.511,3,Find Two,placement,,,,,,,green,green,drag,True,,,,,
157.511,3,Find Two,action,,drag,1.657,b,green,True,,,,,,,,,
160.395,3,Find Two,placement,,,,,,,green,green,drag,True,,,,,
160.395,3,Find Two,action,,drag,2.026,D,green,True,,,,,,,,,
162.959,3,Find Two,placement,,,,,,,green,green,drag,True,,,,,
162.959,3,Find Two,action,,drag,1.803,E,green,True,,,,,,,,,
165.575,3,Find Two,placement,,,,,,,green,green,drag,True,,,,,
165.575,3,Find Two,action,,drag,1.601,F,green,True,,,,,,,,,
167.864,3,Find Two,placement,,,,,,,yellow,yellow,drag,True,,,,,
167.864,3,Find Two,action,,drag,1.589,G,yellow,True,,,,,,,,,
171.684,3,Find Two,placement,,,,,,,yellow,yellow,drag,True,,,,,
171.684,3,Find Two,action,,drag,2.961,A,yellow,True,,,,,,,,,
176.274,3,Find Two,placement,,,,,,,yellow,yellow,drag,True,,,,,
176.274,3,Find Two,action,,drag,2.177,B,yellow,True,,,,,,,,,
180.894,3,Find Two,placement,,,,,,,yellow,yellow,drag,True,,,,,
180.894,3,Find Two,action,,drag,2.528,C,yellow,True,,,,,,,,,
182.573,3,Find Two,placement,,,,,,,green,green,drag,True,,,,,
182.573,3,Find Two,action,,drag,0.92,d,green,True,,,,,,,,,
185.825,3,Find Two,placement,,,,,,,green,green,drag,True,,,,,
185.825,3,Find Two,action,,drag,1.405,J,green,True,,,,,,,,,
185.825,3,Find Two,task_end,,,,,,,,,,,True,35.41,1,10,0.091
188.344,4,Cleanup,task_start,10,,,,,,,,,,,,,,
190.955,4,Cleanup,placement,,,,,,,blue,purple,drag,False,,,,,
190.955,4,Cleanup,action,,drag,0.413,f,purple,True,,,,,,,,,
191.981,4,Cleanup,action,,drag,0.869,c,red,False,,,,,,,,,
192.724,4,Cleanup,task_end,,,,,,,,,,,False,4.38,1,0,1.0
192.724,5,Sunshine Cleanup,task_start,9,,,,,,,,,,,,,,
195.262,5,Sunshine Cleanup,action,,drag,1.098,c,olive,False,,,,,,,,,
196.773,5,Sunshine Cleanup,action,,drag,0.874,f,lime,False,,,,,,,,,
199.041,5,Sunshine Cleanup,action,,drag,0.79,h,crimson,False,,,,,,,,,
201.104,5,Sunshine Cleanup,action,,drag,0.803,a,lime,False,,,,,,,,,
203.717,5,Sunshine Cleanup,action,,drag,0.793,d,orange,False,,,,,,,,,
206.171,5,Sunshine Cleanup,action,,drag,0.709,E,red,False,,,,,,,,,
207.588,5,Sunshine Cleanup,placement,,,,,,,yellow,yellow,drag,True,,,,,
207.588,5,Sunshine Cleanup,action,,drag,1.341,g,yellow,True,,,,,,,,,
209.446,5,Sunshine Cleanup,placement,,,,,,,red,red,drag,True,,,,,
209.446,5,Sunshine Cleanup,action,,drag,1.091,E,red,True,,,,,,,,,
213.42,5,Sunshine Cleanup,placement,,,,,,,yellow,yellow,drag,True,,,,,
213.42,5,Sunshine Cleanup,action,,drag,1.102,A,yellow,True,,,,,,,,,
215.898,5,Sunshine Cleanup,placement,,,,,,,yellow,yellow,drag,True,,,,,
215.898,5,Sunshine Cleanup,action,,drag,1.39,F,yellow,True,,,,,,,,,
218.742,5,Sunshine Cleanup,placement,,,,,,,yellow,yellow,drag,True,,,,,
218.742,5,Sunshine Cleanup,action,,drag,2.004,G,yellow,True,,,,,,,,,
223.54,5,Sunshine Cleanup,placement,,,,,,,yellow,yellow,drag,True,,,,,
223.54,5,Sunshine Cleanup,action,,drag,1.409,G,yellow,True,,,,,,,,,
230.179,5,Sunshine Cleanup,placement,,,,,,,yellow,yellow,drag,True,,,,,
230.179,5,Sunshine Cleanup,action,,drag,3.237,K,yellow,True,,,,,,,,,
230.179,5,Sunshine Cleanup,task_end,,,,,,,,,,,True,37.455,0,7,0.0
232.707,6,Gate,task_start,14,,,,,,,,,,,,,,
233.863,6,Gate,task_end,,,,,,,,,,,False,1.156,0,0,0.0
