t,task_idx,task_name,event_type,total_slots,action,response_latency_s,subaction,count,target,kind,expected,actual,source,correct,pasted,snapped,remaining,completed,duration_s,misplacements,correct_placements,error_rate
95.54,0,Gate,placement,,,,,,,,green,green,paste,True,,,,,,,,
95.54,0,Gate,action,,C,0.793,paste,,,green,,,,,D',True,,,,,,
98.738,0,Gate,placement,,,,,,,,green,green,paste,True,,,,,,,,
98.738,0,Gate,action,,C,0.773,paste,,,green,,,,,D',True,,,,,,
106.576,0,Gate,action,,C,0.765,copy,,K,grey,,,,,,,,,,,,
109.32,0,Gate,action,,C,0.759,paste,,,grey,,,,,K',False,,,,,,
112.374,0,Gate,placement,,,,,,,,grey,grey,paste,True,,,,,,,,
112.374,0,Gate,action,,C,0.781,paste,,,grey,,,,,K',True,,,,,,
117.99,0,Gate,placement,,,,,,,,grey,grey,paste,True,,,,,,,,
117.99,0,Gate,action,,C,0.794,paste,,,grey,,,,,K',True,,,,,,
122.211,0,Gate,placement,,,,,,,,grey,grey,paste,True,,,,,,,,
122.211,0,Gate,action,,C,0.779,paste,,,grey,,,,,K',True,,,,,,
126.804,0,Gate,placement,,,,,,,,grey,grey,paste,True,,,,,,,,
126.804,0,Gate,action,,C,0.785,paste,,,grey,,,,,K',True,,,,,,
126.805,0,Gate,task_end,,,,,,,,,,,,,,,True,126.78,0,15,0.0
129.372,1,Goalpost,task_start,14,,,,,,,,,,,,,,,,,,
135.72,1,Goalpost,task_end,,,,,,,,,,,,,,,False,6.348,0,0,0.0
135.72,2,Find Red,task_start,13,,,,,,,,,,,,,,,,,,
138.25,2,Find Red,action,,Z,0.71,empty_history,,,,,,,,,,,,,,,
149.378,2,Find Red,action,,Z,0.7,empty_history,,,,,,,,,,,,,,,
149.535,2,Find Red,panel_open,,,,,2,,,,,,,,,,,,,,
152.41,2,Find Red,action,,C,0.707,empty_clipboard,,,,,,,,,,,,,,,
155.453,2,Find Red,action,,C,0.714,empty_clipboard,,,,,,,,,,,,,,,
157.428,2,Find Red,action,,C,0.718,empty_clipboard,,,,,,,,,,,,,,,
158.997,2,Find Red,action,,C,0.701,empty_clipboard,,,,,,,,,,,,,,,
165.697,2,Find Red,action,,C,0.713,empty_clipboard,,,,,,,,,,,,,,,
168.731,2,Find Red,action,,C,0.705,copy,,E,red,,,,,,,,,,,,
171.308,2,Find Red,placement,,,,,,,,red,red,paste,True,,,,,,,,
171.308,2,Find Red,action,,C,0.7,paste,,,red,,,,,E',True,,,,,,
177.281,2,Find Red,placement,,,,,,,,red,red,paste,True,,,,,,,,
177.281,2,Find Red,action,,C,0.705,paste,,,red,,,,,E',True,,,,,,
181.053,2,Find Red,placement,,,,,,,,red,red,paste,True,,,,,,,,
181.053,2,Find Red,action,,C,0.712,paste,,,red,,,,,E',True,,,,,,
186.277,2,Find Red,placement,,,,,,,,red,red,paste,True,,,,,,,,
186.277,2,Find Red,action,,C,0.709,paste,,,red,,,,,E',True,,,,,,
187.882,2,Find Red,placement,,,,,,,,red,red,paste,True,,,,,,,,
187.882,2,Find Red,action,,C,0.729,paste,,,red,,,,,E',True,,,,,,
193.886,2,Find Red,placement,,,,,,,,red,red,paste,True,,,,,,,,
193.886,2,Find Red,action,,C,0.69,paste,,,red,,,,,E',True,,,,,,
205.788,2,Find Red,placement,,,,,,,,red,red,paste,True,,,,,,,,
205.788,2,Find Red,action,,C,0.729,paste,,,red,,,,,E',True,,,,,,
208.482,2,Find Red,placement,,,,,,,,red,red,paste,True,,,,,,,,
208.482,2,Find Red,action,,C,0.706,paste,,,red,,,,,E',True,,,,,,
210.964,2,Find Red,placement,,,,,,,,red,red,paste,True,,,,,,,,
210.964,2,Find Red,action,,C,0.728,paste,,,red,,,,,E',True,,,,,,
212.817,2,Find Red,placement,,,,,,,,red,red,paste,True,,,,,,,,
212.817,2,Find Red,action,,C,0.724,paste,,,red,,,,,E',True,,,,,,
214.359,2,Find Red,placement,,,,,,,,red,red,paste,True,,,,,,,,
214.359,2,Find Red,action,,C,0.73,paste,,,red,,,,,E',True,,,,,,
218.837,2,Find Red,placement,,,,,,,,red,red,paste,True,,,,,,,,
218.837,2,Find Red,action,,C,0.728,paste,,,red,,,,,E',True,,,,,,
218.837,2,Find Red,task_end,,,,,,,,,,,,,,,True,83.117,0,12,0.0
221.367,3,Find Two,task_start,12,,,,,,,,,,,,,,,,,,
230.081,3,Find Two,action,,C,0.704,empty_clipboard,,,,,,,,,,,,,,,
232.519,3,Find Two,action,,C,0.73,copy,,A,yellow,,,,,,,,,,,,
235.317,3,Find Two,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,,
235.317,3,Find Two,action,,C,0.701,paste,,,yellow,,,,,A',True,,,,,,
238.953,3,Find Two,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,,
238.954,3,Find Two,action,,C,0.716,paste,,,yellow,,,,,A',True,,,,,,
244.909,3,Find Two,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,,
244.909,3,Find Two,action,,C,0.701,paste,,,yellow,,,,,A',True,,,,,,
247.861,3,Find Two,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,,
247.861,3,Find Two,action,,C,0.696,paste,,,yellow,,,,,A',True,,,,,,
251.361,3,Find Two,action,,Z,0.7,,,,,,,,,,,3,,,,,
255.763,3,Find Two,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,,
255.763,3,Find Two,action,,C,0.731,paste,,,yellow,,,,,A',True,,,,,,
259.552,3,Find Two,action,,C,0.699,copy,,C,green,,,,,,,,,,,,
261.51,3,Find Two,placement,,,,,,,,green,green,paste,True,,,,,,,,
261.51,3,Find Two,action,,C,0.699,paste,,,green,,,,,C',True,,,,,,
275.134,3,Find Two,placement,,,,,,,,green,green,paste,True,,,,,,,,
275.134,3,Find Two,action,,C,0.701,paste,,,green,,,,,C',True,,,,,,
276.542,3,Find Two,placement,,,,,,,,green,green,paste,True,,,,,,,,
276.542,3,Find Two,action,,C,0.7,paste,,,green,,,,,C',True,,,,,,
277.642,3,Find Two,placement,,,,,,,,green,green,paste,True,,,,,,,,
277.642,3,Find Two,action,,C,0.692,paste,,,green,,,,,C',True,,,,,,
278.842,3,Find Two,placement,,,,,,,,green,green,paste,True,,,,,,,,
278.842,3,Find Two,action,,C,0.715,paste,,,green,,,,,C',True,,,,,,
278.842,3,Find Two,task_end,,,,,,,,,,,,,,,True,57.475,0,10,0.0
281.389,4,Cleanup,task_start,10,,,,,,,,,,,,,,,,,,
283.993,4,Cleanup,task_end,,,,,,,,,,,,,,,False,2.604,0,0,0.0
283.993,5,Sunshine Cleanup,task_start,9,,,,,,,,,,,,,,,,,,
288.087,5,Sunshine Cleanup,panel_open,,,,,3,,,,,,,,,,,,,,
292.473,5,Sunshine Cleanup,action,,X,0.712,,,c,olive,,,,,,,,,,,,
295.39,5,Sunshine Cleanup,action,,X,0.711,,,f,lime,,,,,,,,,,,,
298.498,5,Sunshine Cleanup,action,,X,0.7,,,h,crimson,,,,,,,,,,,,
301.531,5,Sunshine Cleanup,action,,X,0.7,,,b,yellow,,,,,,,,,,,,
303.247,5,Sunshine Cleanup,action,,X,0.704,,,a,lime,,,,,,,,,,,,
306.264,5,Sunshine Cleanup,action,,Z,0.69,,,,,,,,,,,4,,,,,
308.938,5,Sunshine Cleanup,action,,Z,0.717,,,,,,,,,,,3,,,,,
311.119,5,Sunshine Cleanup,action,,Z,0.701,,,,,,,,,,,2,,,,,
313.857,5,Sunshine Cleanup,action,,X,0.699,,,a,lime,,,,,,,,,,,,
315.298,5,Sunshine Cleanup,action,,Z,0.684,,,,,,,,,,,2,,,,,
317.401,5,Sunshine Cleanup,action,,X,0.716,,,d,orange,,,,,,,,,,,,
319.425,5,Sunshine Cleanup,action,,X,0.7,,,a,lime,,,,,,,,,,,,
323.978,5,Sunshine Cleanup,action,,X,0.693,,,h,crimson,,,,,,,,,,,,
327.497,5,Sunshine Cleanup,action,,drag,0.743,,,J,yellow,,,,,,False,,,,,,
329.066,5,Sunshine Cleanup,action,,C,0.681,copy,,G,yellow,,,,,,,,,,,,
330.822,5,Sunshine Cleanup,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,,
330.822,5,Sunshine Cleanup,action,,C,0.683,paste,,,yellow,,,,,G',True,,,,,,
332.56,5,Sunshine Cleanup,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,,
332.56,5,Sunshine Cleanup,action,,C,0.691,paste,,,yellow,,,,,G',True,,,,,,
335.813,5,Sunshine Cleanup,action,,C,0.692,paste,,,yellow,,,,,G',False,,,,,,
337.59,5,Sunshine Cleanup,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,,
337.59,5,Sunshine Cleanup,action,,C,0.701,paste,,,yellow,,,,,G',True,,,,,,
340.779,5,Sunshine Cleanup,placement,,,,,,,,yellow,yellow,drag,True,,,,,,,,
340.779,5,Sunshine Cleanup,action,,drag,0.699,,,G',yellow,,,,,,True,,,,,,
342.099,5,Sunshine Cleanup,placement,,,,,,,,yellow,yellow,drag,True,,,,,,,,
342.099,5,Sunshine Cleanup,action,,drag,0.703,,,G',yellow,,,,,,True,,,,,,
344.675,5,Sunshine Cleanup,placement,,,,,,,,yellow,yellow,drag,True,,,,,,,,
344.675,5,Sunshine Cleanup,action,,drag,1.724,,,G',yellow,,,,,,True,,,,,,
346.85,5,Sunshine Cleanup,placement,,,,,,,,yellow,yellow,drag,True,,,,,,,,
346.85,5,Sunshine Cleanup,action,,drag,1.323,,,G',yellow,,,,,,True,,,,,,
349.574,5,Sunshine Cleanup,action,,drag,0.227,,,B,red,,,,,,False,,,,,,
352.524,5,Sunshine Cleanup,placement,,,,,,,,yellow,yellow,drag,True,,,,,,,,
352.524,5,Sunshine Cleanup,action,,drag,0.783,,,G',yellow,,,,,,True,,,,,,
353.94,5,Sunshine Cleanup,placement,,,,,,,,yellow,yellow,drag,True,,,,,,,,
353.94,5,Sunshine Cleanup,action,,drag,0.796,,,G',yellow,,,,,,True,,,,,,
355.402,5,Sunshine Cleanup,action,,X,0.684,,,G',yellow,,,,,,,,,,,,
357.408,5,Sunshine Cleanup,action,,Z,0.7,,,,,,,,,,,9,,,,,
360.436,5,Sunshine Cleanup,action,,X,0.694,,,G',yellow,,,,,,,,,,,,
361.839,5,Sunshine Cleanup,action,,Z,0.7,,,,,,,,,,,9,,,,,
363.939,5,Sunshine Cleanup,action,,X,0.701,,,G',yellow,,,,,,,,,,,,
365.57,5,Sunshine Cleanup,action,,X,0.7,,,G',yellow,,,,,,,,,,,,
367.044,5,Sunshine Cleanup,action,,C,0.697,no_target,,,,,,,,,,,,,,,
368.804,5,Sunshine Cleanup,action,,Z,0.703,,,,,,,,,,,9,,,,,
369.733,5,Sunshine Cleanup,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,,
369.733,5,Sunshine Cleanup,action,,C,0.699,paste,,,yellow,,,,,G',True,,,,,,
377.175,5,Sunshine Cleanup,action,,C,0.695,no_target,,,,,,,,,,,,,,,
378.184,5,Sunshine Cleanup,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,,
378.184,5,Sunshine Cleanup,action,,C,0.699,paste,,,yellow,,,,,G',True,,,,,,
380.58,5,Sunshine Cleanup,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,,
380.58,5,Sunshine Cleanup,action,,C,0.688,paste,,,yellow,,,,,G',True,,,,,,
386.043,5,Sunshine Cleanup,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,,
386.043,5,Sunshine Cleanup,action,,C,0.702,paste,,,yellow,,,,,G',True,,,,,,
391.044,5,Sunshine Cleanup,action,,C,0.693,copy,,e,red,,,,,,,,,,,,
392.914,5,Sunshine Cleanup,placement,,,,,,,,red,red,paste,True,,,,,,,,
392.914,5,Sunshine Cleanup,action,,C,0.703,paste,,,red,,,,,e',True,,,,,,
392.914,5,Sunshine Cleanup,task_end,,,,,,,,,,,,,,,True,108.921,0,14,0.0
395.463,6,Gate,task_start,14,,,,,,,,,,,,,,,,,,
396.823,6,Gate,task_end,,,,,,,,,,,,,,,False,1.359,0,0,0.0
